"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7.1","1","0.2","0","7.1","0","0"
"1","1","1","0","0","6.6","1","0.2","0","6.6","0","0"
"1","1","2","0","0","5.9","1","0.2","0","5.9","0","0"
"1","1","3","0","0","5.4","1","0.2","0","5.4","0","0"
"1","1","4","0","0","4.9","1","0.2","0","4.9","0","0"
"1","1","5","0","0","4.4","1","0.2","0","4.4","0","0"
"1","1","6","0","6","4.8","1","0.2","0","4.8","0","0"
"1","1","7","118","24","7.3","1","0.2","40.845","8.454","1530.763","1256.544"
"1","1","8","572","45","11.2","1","0.2","222.656","17.775","9808.936","9241.388"
"1","1","9","767","57","16","1","0.2","397.515","27.976","18357.274","17486.825"
"1","1","10","809","66","16.3","2.1","0.2","497.363","28.062","23422.468","22372.539"
"1","1","11","851","66","17","2.1","0.2","552.891","30.067","25838.277","24702.747"
"1","1","12","858","67","18","2.6","0.2","545.837","29.739","25556.633","24431.082"
"1","1","13","823","69","17.2","3.1","0.2","473.92","26.545","22353.705","21341.646"
"1","1","14","725","68","17","3.1","0.2","342.377","23.681","15609.863","14836.766"
"1","1","15","572","56","16","3.6","0.2","184.919","19.205","7417.907","6935.083"
"1","1","16","237","22","14.4","2.1","0.2","31.023","14.89","620.798","378.823"
"1","1","17","0","1","12.5","0","0.2","0","12.5","0","0"
"1","1","18","0","0","11.5","2.6","0.2","0","11.5","0","0"
"1","1","19","0","0","11.5","2.6","0.2","0","11.5","0","0"
"1","1","20","0","0","11.2","2.6","0.2","0","11.2","0","0"
"1","1","21","0","0","11","2.6","0.2","0","11","0","0"
"1","1","22","0","0","11","2.6","0.2","0","11","0","0"
"1","1","23","0","0","10.8","2.6","0.2","0","10.8","0","0"
"1","2","0","0","0","11","2.1","0.2","0","11","0","0"
"1","2","1","0","0","11.2","3.6","0.2","0","11.2","0","0"
"1","2","2","0","0","12","4.1","0.2","0","12","0","0"
"1","2","3","0","0","11","4.6","0.2","0","11","0","0"
"1","2","4","0","0","11","4.6","0.2","0","11","0","0"
"1","2","5","0","0","11","4.1","0.2","0","11","0","0"
"1","2","6","0","7","11","4.6","0.2","0","11","0","0"
"1","2","7","8","36","11.3","5.1","0.2","37.138","11.841","1592.989","1316.565"
"1","2","8","1","84","11.6","5.1","0.2","84.31","12.843","3889.056","3531.274"
"1","2","9","0","112","11.7","5.1","0.2","112","13.348","5182.753","4779.129"
"1","2","10","0","44","11.7","5.1","0.2","44","12.346","1957.541","1668.199"
"1","2","11","0","55","13.7","5.1","0.2","55","14.507","2440.371","2133.921"
"1","2","12","1","107","14.7","6.2","0.2","107.56","16.089","4876.345","4483.579"
"1","2","13","0","89","15.7","6.7","0.2","89","16.791","4013.304","3651.119"
"1","2","14","0","45","14.6","5.7","0.2","45","15.217","2001.011","1710.13"
"1","2","15","0","38","14.7","5.1","0.2","38","15.259","1671.898","1392.678"
"1","2","16","0","13","14.7","3.6","0.2","13","14.895","338.896","106.909"
"1","2","17","0","0","14.6","2.6","0.2","0","14.6","0","0"
"1","2","18","0","0","14.7","2.1","0.2","0","14.7","0","0"
"1","2","19","0","0","14.7","2.1","0.2","0","14.7","0","0"
"1","2","20","0","0","13.7","2.1","0.2","0","13.7","0","0"
"1","2","21","0","0","13.6","2.1","0.2","0","13.6","0","0"
"1","2","22","0","0","11.7","1","0.2","0","11.7","0","0"
"1","2","23","0","0","12.3","2.1","0.2","0","12.3","0","0"
"1","3","0","0","0","12.3","3.1","0.2","0","12.3","0","0"
"1","3","1","0","0","11.8","2.6","0.2","0","11.8","0","0"
"1","3","2","0","0","12.3","3.1","0.2","0","12.3","0","0"
"1","3","3","0","0","12.6","3.6","0.2","0","12.6","0","0"
"1","3","4","0","0","12.6","2.6","0.2","0","12.6","0","0"
"1","3","5","0","0","12.6","2.1","0.2","0","12.6","0","0"
"1","3","6","0","3","12.6","3.1","0.2","0","12.6","0","0"
"1","3","7","0","12","12.8","2.6","0.2","12","13.054","492.747","255.309"
"1","3","8","0","20","13","3.1","0.2","20","13.392","867.179","616.473"
"1","3","9","0","48","13.5","2.1","0.2","48","14.627","2137.096","1841.393"
"1","3","10","0","75","14.5","3.1","0.2","75","15.966","3359.846","3020.816"
"1","3","11","0","115","14.7","3.6","0.2","115","16.775","5206.053","4801.604"
"1","3","12","0","148","16","3.1","0.2","148","18.892","6714.479","6256.581"
"1","3","13","0","122","15.8","2.6","0.2","122","18.403","5532.801","5116.774"
"1","3","14","0","83","15.8","2.6","0.2","83","17.574","3748.116","3395.328"
"1","3","15","0","51","15.8","2.6","0.2","51","16.889","2257.358","1957.393"
"1","3","16","0","18","14.9","1.5","0.2","17.86","15.295","471.685","234.994"
"1","3","17","0","1","14.6","1.5","0.2","0","14.6","0","0"
"1","3","18","0","0","14.6","1.5","0.2","0","14.6","0","0"
"1","3","19","0","0","13.8","0","0.2","0","13.8","0","0"
"1","3","20","0","0","13.4","0","0.2","0","13.4","0","0"
"1","3","21","0","0","12.4","0","0.2","0","12.4","0","0"
"1","3","22","0","0","11","0","0.2","0","11","0","0"
"1","3","23","0","0","9.8","0","0.2","0","9.8","0","0"
"1","4","0","0","0","9","1","0.2","0","9","0","0"
"1","4","1","0","0","8.8","1","0.2","0","8.8","0","0"
"1","4","2","0","0","8","1","0.2","0","8","0","0"
"1","4","3","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","4","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","5","0","0","6.8","0","0.2","0","6.8","0","0"
"1","4","6","0","6","6.6","0","0.2","0","6.6","0","0"
"1","4","7","184","31","8.2","0","0.2","57.037","10.34","2103.349","1808.841"
"1","4","8","572","53","12.5","0","0.2","230.534","21.622","10041.833","9466.033"
"1","4","9","732","71","16","1","0.2","396.713","27.951","18317.347","17448.313"
"1","4","10","558","124","16.4","3.6","0.2","422.818","24.093","20007.886","19078.949"
"1","4","11","20","183","16","2.6","0.2","194.515","20.145","8878.912","8344.319"
"1","4","12","183","176","18","3.1","0.2","279.014","23.474","12890.574","12213.832"
"1","4","13","418","129","18","3.6","0.2","337.115","24.128","15801.348","15021.466"
"1","4","14","558","119","18.2","3.6","0.2","333.899","24.228","15269.723","14508.678"
"1","4","15","348","59","16.2","3.6","0.2","139.924","18.652","5757.687","5333.691"
"1","4","16","209","27","14.6","3.1","0.2","35.801","15.095","761.738","514.769"
"1","4","17","0","1","12.5","1.5","0.2","0","12.5","0","0"
"1","4","18","0","0","11","1.5","0.2","0","11","0","0"
"1","4","19","0","0","9.8","2.1","0.2","0","9.8","0","0"
"1","4","20","0","0","8.5","0","0.2","0","8.5","0","0"
"1","4","21","0","0","8.2","1","0.2","0","8.2","0","0"
"1","4","22","0","0","7.5","1","0.2","0","7.5","0","0"
"1","4","23","0","0","6.8","1","0.2","0","6.8","0","0"
"1","5","0","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","1","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","2","0","0","5.8","2.1","0.2","0","5.8","0","0"
"1","5","3","0","0","5.5","2.1","0.2","0","5.5","0","0"
"1","5","4","0","0","5","2.1","0.2","0","5","0","0"
"1","5","5","0","0","8","3.1","0.2","0","8","0","0"
"1","5","6","0","7","10","3.6","0.2","0","10","0","0"
"1","5","7","238","29","11.7","4.1","0.2","62.62","12.668","2212.448","1914.075"
"1","5","8","648","45","14","4.1","0.2","246.209","18.068","10852.442","10247.919"
"1","5","9","816","56","15.5","5.1","0.2","419.538","21.696","19866.952","18943.009"
"1","5","10","883","60","16.8","5.1","0.2","533.729","24.714","25493.193","24369.891"
"1","5","11","895","60","16.8","5.1","0.2","576.567","25.343","27440.286","26247.989"
"1","5","12","895","60","17.4","5.1","0.2","565.43","25.78","26881.31","25708.821"
"1","5","13","872","57","17.3","5.7","0.2","493.02","24.101","23541.248","22487.11"
"1","5","14","781","50","17.3","5.1","0.2","352.647","22.475","16216.297","15421.711"
"1","5","15","628","40","16","4.6","0.2","187.62","18.817","7514.058","7027.827"
"1","5","16","272","19","13.5","2.6","0.2","32.208","13.924","591.994","351.04"
"1","5","17","0","1","10.4","3.1","0.2","0","10.4","0","0"
"1","5","18","0","0","10.4","3.1","0.2","0","10.4","0","0"
"1","5","19","0","0","10","3.1","0.2","0","10","0","0"
"1","5","20","0","0","11","3.6","0.2","0","11","0","0"
"1","5","21","0","0","14.5","6.2","0.2","0","14.5","0","0"
"1","5","22","0","0","14.5","7.7","0.2","0","14.5","0","0"
"1","5","23","0","0","15","7.7","0.2","0","15","0","0"
"1","6","0","0","0","12","8.8","0.2","0","12","0","0"
"1","6","1","0","0","13","6.2","0.2","0","13","0","0"
